Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DeepPlankter_main.PrjPcb|ReportField=ProjectFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb|ReportField=Title~BOM_PartType For Project [DeepPlankter_main.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~257|ReportField=ReportTime~16:03:12|ReportField=ReportDate~2021/1/24|ReportField=ReportDateTime~2021/1/24 16:03:12|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DeepPlankter_main.PrjPcb|ReportField=DataSourceFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb
16V 47uF|1210 47 uF 10 V °¿10% Tolerance X5R SMT Multilayer Ceramic Capacitor|C44, C45|PCB-h26gble9h939l4c191wl-1|CMP-cdd204dbeb8b1215-2|2
25V 220nF|CAP CER 0.22UF 25V 10% X5R 0603|C46, C52|CAPC1608X90X35LL15T15|CMP-126800-2|2
25V 10uF|CAP CER 10UF 25V 10% X5R 1210|C47, C53|CAPC3225X279X50NL20T25|CMP-127194-2|2
1¶ÃF|0603 1 uF 16 V °¿10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C48, C54|CAPC1608X90X35ML15T15|CMP-f2f83b8d074c2d3f-6|2
10V 47uF|1210 47 uF 10 V °¿10% Tolerance X5R SMT Multilayer Ceramic Capacitor|C50, C51|PCB-h26gble9h939l4c191wl-1|CMP-cdd204dbeb8b1215-2|2
0.22uF|AVX   04026D224KAT2A   CAP, MLCC, X5R, 220NF, 6.3V, 0402|C63|CAPC1005X56X25NL10T15|CMP-126172-3|1
TE Connectivity / AMP 2-1734592-4|Ffc/Fpc Connector, Receptacle 24 Position 1row, Full Reel|CAMERA|SOP48|CMP-9e32555c798341f5-2|1
JST B4B-XH-A(LF)(SN)|XH Series 4 Position 2.5 mm Pitch Through Hole Crimp Top Entry Shrouded Header|CAN, I2C, I2C_MAG, UART1, UART2|PCB-nwmfqt4y1xdboio0wsyw-1|CMP-2acae3fced1af50d-8|5
NUP1105LT1G|Single Line CAN / LIN Bus Protector, 3-Pin SOT-23, Pb-Free, Tape and Reel|D1|ONSC-SOT-23-3-318-08_V|CMP-296179-2|1
FCI HLW8R-2C7LF|FPC Connector; 0.5mm pitch dual contactback flip FPC; 8pos|DEBUG|PCB-9fz4gdy3o615agpn7s9f-1|CMP-90945c3aea634f53-1|1
Molex 22-28-4033|SERVAL TRIJUMPER|ESC, S1, S2, S3|PCB-8kup8qw5vsmkearo8v0b-1|CMP-b995709ba24d6652-18|4
XT60 ESC|XT60 Connector Male|ESC_P|PCB-8tmbcd94dx0l5ponnqur-1|CMP-d8151592827e07d2-9|1
JST B6B-XH-A(LF)(SN)|Socket; wire-board; male; XH; 2.5mm; PIN: 6; THT; 250V; 3A; -25°¬85°„C|GPS, TELE1, TELE2|PCB-z7tho54h7p2kc79zj16v-1|CMP-f3cb3ac5a78f2c0c-10|3
W®πrth Elektronik 614105150721|Vertical Through Hole; Ver 2.0 Micro USB Connector Socket; 30 V ac; 1.8A WR-COM|J26|USB connector B|CMP-3a62f04b53f2e5a5-1|1
3.3uH 4A|Power inductor, shielded, 10/20/30% tol, SMT, RoHS|L1, L2|PCB-nnnro8dea2m4q1g7ugdq-1|CMP-d4431d2f1dc30b84-1|2
GREEN|Super Ultra Green 0603 1.6 x 0.8 mm 140°„ Diffused 45 mcd 2.2 V PCB Chip SMT LED|ON1, ON2|LED-0603_D|CMP-65d2acda0cfcba15-1.A.3|2
Vishay SI7149ADP-T1-GE3|Si7149ADP Series 30 V 50 A 50 mOhm Surface Mount P-Channel Mosfet-PowerPAK SO-8|Q1|PCB-zhz9tig7820limf6j70v-1|CMP-ebab2065408c346c-3|1
Vishay SISS23DN-T1-GE3|Si7617DN Series 30 V 12.3 mOhm 3.7 W P-Channel Mosfet - POWERPAK-1212-8|Q2, Q3, Q7, Q8, Q9|PCB-3102182-1|CMP-74eabf6acbf3ab2d-1|5
