timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585560,0.00,0.000,0.000,2.501,0.1165,0.9342,3.1096,24.2,19.125,8.0443,-0.0677,0.0004,0.0000,0.0000,7.9815,-0.0480,0.0005,0.0000,0.0000,0.0032,0.0195,0.0171,7.02,2.06,-106.85,102365.53,34.14,21.964,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585562,0.00,0.000,0.000,2.501,0.1469,1.1775,3.0513,24.0,19.125,8.0418,-0.0900,0.0002,0.0000,0.0000,7.9800,-0.0549,0.0029,0.0000,0.0000,-0.0009,0.0187,0.0118,6.36,2.11,-107.47,102369.05,34.13,21.957,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585563,0.00,0.000,0.000,2.502,0.1197,0.9592,3.8075,24.2,19.125,8.0384,-0.0709,0.0001,0.0000,0.0000,7.9746,-0.0434,0.0053,0.0000,0.0000,0.0004,0.0179,0.0146,7.55,1.28,-108.33,102362.76,34.11,21.952,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585564,0.00,0.000,0.000,2.502,0.1058,0.8485,3.6029,24.3,19.125,8.0400,-0.0654,-0.0001,0.0000,0.0000,7.9767,-0.0350,0.0055,0.0000,0.0000,0.0019,0.0210,0.0161,6.55,2.12,-108.48,102369.57,34.08,21.961,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585565,0.00,0.000,0.000,2.502,0.1286,1.0302,3.2389,24.0,19.125,8.0370,-0.0787,0.0000,0.0000,0.0000,7.9770,-0.0482,0.0016,0.0000,0.0000,0.0043,0.0199,0.0177,6.56,2.29,-109.02,102352.47,34.02,21.897,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585566,0.00,0.000,0.000,2.503,0.1592,1.2764,3.0771,24.1,19.125,8.0412,-0.0963,-0.0006,0.0000,0.0000,7.9797,-0.0608,0.0027,0.0000,0.0000,0.0024,0.0198,0.0179,6.22,2.23,-109.42,102315.49,33.89,21.626,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585567,0.00,0.000,0.000,2.503,0.1413,1.1323,3.0159,23.9,19.125,8.0415,-0.0829,0.0004,0.0000,0.0000,7.9767,-0.0545,0.0034,0.0000,0.0000,0.0029,0.0181,0.0173,6.29,2.39,-109.66,102363.56,33.81,21.914,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585568,0.00,0.000,0.000,2.502,0.1088,0.8702,2.9954,23.8,19.125,8.0411,-0.0601,0.0003,0.0000,0.0000,7.9778,-0.0451,0.0031,0.0000,0.0000,0.0023,0.0196,0.0178,6.29,2.02,-109.96,102365.83,33.68,21.936,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585569,0.00,0.000,0.000,2.502,0.0898,0.7198,2.9881,24.0,19.000,8.0407,-0.0543,-0.0001,0.0000,0.0000,7.9783,-0.0345,0.0011,0.0000,0.0000,-0.0009,0.0198,0.0178,6.39,2.24,-110.14,102367.50,33.63,21.934,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585570,0.00,0.000,0.000,2.501,0.1161,0.9309,2.9838,24.0,19.000,8.0432,-0.0691,-0.0007,0.0000,0.0000,7.9792,-0.0472,0.0006,0.0000,0.0000,0.0020,0.0180,0.0170,6.31,2.30,-110.24,102344.62,33.51,21.799,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
